WD22CD,WD22NM,mean
E05009317,Bethnal Green,0.2743618585809456
E05009318,Blackwall & Cubitt Town,0.14489460717218766
E05009319,Bow East,0.3338658287289002
E05009320,Bow West,0.45050701796122256
E05009321,Bromley North,0.1840157979060323
E05009322,Bromley South,0.19054172672005545
E05009323,Canary Wharf,0.06620691055201183
E05009324,Island Gardens,0.37940197262141656
E05009325,Lansbury,0.1798699290879491
E05009326,Limehouse,0.1842910490322005
E05009327,Mile End,0.3383574148302394
E05009328,Poplar,0.20356536126743807
E05009329,St Dunstan's,0.30738268726318857
E05009330,St Katharine's & Wapping,0.17389232782019493
E05009331,St Peter's,0.24041312101013596
E05009332,Shadwell,0.15252067102150652
E05009333,Spitalfields & Banglatown,0.14104499381838553
E05009334,Stepney Green,0.35476748999586033
E05009335,Weavers,0.27683110472028166
E05009336,Whitechapel,0.12352910233818155
E05009367,Brownswood,0.36255003993960583
E05009368,Cazenove,0.2806920334022151
E05009369,Clissold,0.4403437214438014
E05009370,Dalston,0.23841270110363302
E05009371,De Beauvoir,0.22878290798194734
E05009372,Hackney Central,0.2688033763521116
E05009373,Hackney Downs,0.3940717346102958
E05009374,Hackney Wick,0.45311961342269325
E05009375,Haggerston,0.30332673335345267
E05009376,Homerton,0.20210090525945648
E05009377,Hoxton East & Shoreditch,0.11760505181072665
E05009378,Hoxton West,0.3154284760861522
E05009379,King's Park,0.7514763682329011
E05009380,Lea Bridge,0.44377416761587163
E05009381,London Fields,0.3271557659299562
E05009382,Shacklewell,0.24328121102314662
E05009383,Springfield,0.430839560966433
E05009384,Stamford Hill West,0.30693258790052086
E05009385,Stoke Newington,0.3848103046086549
E05009386,Victoria,0.41939647817159975
E05009387,Woodberry Down,0.38084990594988377
E05009388,Abingdon,0.18817337592882502
E05009389,Brompton & Hans Town,0.151361006712591
E05009390,Campden,0.4176052260024855
E05009391,Chelsea Riverside,0.19348181179948723
E05009392,Colville,0.15263586607028035
E05009393,Courtfield,0.2040853547328105
E05009394,Dalgarno,0.409266116712496
E05009395,Earl's Court,0.21189408268035667
E05009396,Golborne,0.19283101439526992
E05009397,Holland,0.4786463003408191
E05009398,Norland,0.38528127912109483
E05009399,Notting Dale,0.29368491980244094
E05009400,Pembridge,0.19397620041123917
E05009401,Queen's Gate,0.1744305325645384
E05009402,Redcliffe,0.31689477413886563
E05009403,Royal Hospital,0.3058631008451592
E05009404,St. Helen's,0.22042770474708093
E05009405,Stanley,0.17384228544618835
E05011095,Borough & Bankside,0.05608416592146544
E05011096,Camberwell Green,0.2512086389627065
E05011097,Champion Hill,0.6069507033239616
E05011098,Chaucer,0.23078710459874016
E05011099,Dulwich Hill,0.5626823676531887
E05011100,Dulwich Village,0.7720676730996704
E05011101,Dulwich Wood,0.8649373724888423
E05011102,Faraday,0.491355464074533
E05011103,Goose Green,0.2970672050455151
E05011104,London Bridge & West Bermondsey,0.11553865358608933
E05011105,Newington,0.33542523326382984
E05011106,North Bermondsey,0.363059351124475
E05011107,North Walworth,0.19133322461565833
E05011108,Nunhead & Queen's Road,0.4121376350112083
E05011109,Old Kent Road,0.20417499942610307
E05011110,Peckham,0.275211634073151
E05011111,Peckham Rye,0.7206786171574905
E05011112,Rotherhithe,0.331863868258
E05011113,Rye Lane,0.22960521104820672
E05011114,St George's,0.15829052222806517
E05011115,St Giles,0.3622466099000233
E05011116,South Bermondsey,0.22411316696620598
E05011117,Surrey Docks,0.3286161958304324
E05011217,Barnehurst,0.5491921180593863
E05011218,Belvedere,0.44838892791088014
E05011219,Bexleyheath,0.5166556165827578
E05011220,Blackfen & Lamorbey,0.5024133140139084
E05011221,Blendon & Penhill,0.5705583749700568
E05011222,Crayford,0.6020424588965203
E05011223,Crook Log,0.4331875880590303
E05011224,East Wickham,0.5451641831001929
E05011225,Erith,0.2901202459994493
E05011226,Falconwood & Welling,0.5164707464112445
E05011227,Longlands,0.5896943507016941
E05011228,Northumberland Heath,0.45964741674430193
E05011229,St Mary's & St James,0.8550810966531696
E05011230,Sidcup,0.6055808102182635
E05011231,Slade Green & Northend,0.6431961562841365
E05011232,Thamesmead East,0.6005005826559681
E05011233,West Heath,0.4360415063926439
E05011234,Aldborough,0.5755769133288836
E05011235,Barkingside,0.36861378393675975
E05011236,Bridge,0.7242728257906672
E05011237,Chadwell,0.3628600068234862
E05011238,Churchfields,0.52106367971525
E05011239,Clayhall,0.47907492567399157
E05011240,Clementswood,0.17806632248272367
E05011241,Cranbrook,0.34672388639526913
E05011242,Fairlop,0.618650131357086
E05011243,Fullwell,0.5219342067771968
E05011244,Goodmayes,0.36175781635269727
E05011245,Hainault,0.781187755119202
E05011246,Ilford Town,0.14850764027604496
E05011247,Loxford,0.3316706287320808
E05011248,Mayfield,0.4323925110866819
E05011249,Monkhams,0.717665984853517
E05011250,Newbury,0.4825755375272728
E05011251,Seven Kings,0.38071526110090864
E05011252,South Woodford,0.5258186190639369
E05011253,Valentines,0.41695094975310665
E05011254,Wanstead Park,0.8346106849049538
E05011255,Wanstead Village,0.5721240722988774
E05011462,Addiscombe East,0.5669878616783476
E05011463,Addiscombe West,0.37457593802001643
E05011464,Bensham Manor,0.37684781227498
E05011465,Broad Green,0.21749193411635756
E05011466,Coulsdon Town,0.7930684473996962
E05011467,Crystal Palace & Upper Norwood,0.7269095133086134
E05011468,Fairfield,0.16728303230129005
E05011469,Kenley,0.9277666636828624
E05011470,New Addington North,0.7452621672581706
E05011471,New Addington South,0.7748334920336976
E05011472,Norbury & Pollards Hill,0.4891139909078902
E05011473,Norbury Park,0.7098493213368546
E05011474,Old Coulsdon,0.9285820093480033
E05011475,Park Hill & Whitgift,0.9008335503758319
E05011476,Purley & Woodcote,0.8258179974487122
E05011477,Purley Oaks & Riddlesdown,0.7814498310431103
E05011478,Sanderstead,0.9128854158431523
