NAME,green_percentage_GLA,ward code
Harold Wood,70.80%,E05013973
Bromley Town,48.00%,E05013991
Mayfield,32.20%,E05011248
Cranham,62.00%,E05013968
West Dulwich,43.60%,E05014119
White City,31.00%,E05013752
Monkhams,53.50%,E05011249
Edmonton Green,33.90%,E05013679
Shaftesbury & Queenstown,17.20%,E05014019
South Norwood,28.30%,E05011485
Selsdon & Addington Village,68.80%,E05011480
Pimlico North,12.60%,E05013802
Northfield,37.00%,E05013530
Tottenham Central,19.70%,E05013601
Worcester Park North,41.80%,E05013772
Old Kent Road,24.30%,E05011109
Slade Green & Northend,49.30%,E05011231
Hanworth Park,53.90%,E05013615
Westbourne,33.20%,E05013809
Ealing Broadway,40.10%,E05013520
Larkswood,45.40%,E05013894
Golborne,25.20%,E05009396
Brentford East,35.90%,E05013607
Longbridge,35.80%,E05014064
Upminster,84.80%,E05013986
Headstone,59.40%,E05013550
Seven Kings,33.80%,E05011251
Hounslow Central,25.50%,E05013620
St Alban's,17.80%,E05013981
Camden Square,28.40%,E05013654
Tooting Broadway,31.40%,E05014024
Earl's Court,20.90%,E05009395
Shortlands & Park Langley,54.30%,E05014005
Peckham Rye,64.80%,E05011111
West Heath,38.20%,E05011233
Hoxton West,22.50%,E05009378
Borough & Bankside,9.10%,E05011095
Haselbury,37.00%,E05013682
Centenary,40.20%,E05013544
Childs Hill,38.40%,E05013631
Roxeth,38.60%,E05013559
Alexandra,47.10%,E05013928
Victoria,32.00%,E05009386
Hacton,34.10%,E05013972
Broad Green,14.40%,E05011465
Grove Green,13.40%,E05013888
Sudbury,48.00%,E05013511
Graveney,19.40%,E05013815
South Richmond,60.30%,E05013786
Shirley North,42.90%,E05011482
St Paul's Cray,77.30%,E05014007
Hampstead Town,70.30%,E05013659
Ridgeway,85.00%,E05013690
Longthornton,39.70%,E05013818
Highfield,45.90%,E05013683
Ravensbury,45.10%,E05013822
Pembridge,31.80%,E05009400
Maida Vale,42.30%,E05013800
Southall West,11.30%,E05013539
Bedfont,57.20%,E05013606
Hampton,72.30%,E05013778
Ladywell,46.60%,E05013725
West Ham,33.50%,E05013927
Myatt's Fields,31.50%,E05014107
Coningham,22.00%,E05013737
Belmont,55.60%,E05013542
Canning Town North,25.60%,E05013906
Church Street,21.90%,E05013794
Edgware,32.60%,E05013545
South Tottenham,22.30%,E05013599
Highbury,38.00%,E05013704
Chaucer,29.70%,E05011098
Newbury,38.00%,E05011250
Enfield Lock,46.60%,E05013680
Knight's Hill,30.30%,E05014106
North Cheam,22.10%,E05013760
Camberwell Green,25.20%,E05011096
Colindale South,28.50%,E05013633
St Ann's,20.60%,E05013597
Southfield,28.70%,E05013540
Northwood Hills,54.30%,E05013575
Fairlop,44.30%,E05011242
Pitshanger,53.30%,E05013535
Valentines,36.80%,E05011253
Streatham Hill West & Thornton,21.60%,E05014114
Dalgarno,42.10%,E05009394
West Drayton,46.60%,E05013581
Thamesfield,34.60%,E05014022
Wallington North,34.80%,E05013770
Balham,22.30%,E05014009
Figge's Marsh,29.60%,E05013814
Limehouse,18.50%,E05009326
Blackwall & Cubitt Town,13.80%,E05009318
Weavers,26.70%,E05009335
Clapham East,24.90%,E05014100
Hoxton East & Shoreditch,20.00%,E05009377
Hackney Wick,43.80%,E05009374
Battersea Park,46.20%,E05014010
Kidbrooke Park,51.50%,E05014083
St Peter's,24.20%,E05009331
Canary Wharf,11.00%,E05009323
Clapham Town,29.10%,E05014102
Penge & Cator,42.20%,E05014002
Sydenham,36.50%,E05013731
Brondesbury Park,43.60%,E05013498
Old Malden,52.60%,E05013942
Charlton Village & Riverside,45.00%,E05014075
Lavender Fields,29.90%,E05013817
Golders Green,28.40%,E05013642
Streatham St Leonard's,24.90%,E05014115
Sutton South,31.80%,E05013767
Goodmayes,31.70%,E05011244
Royal Hospital,32.10%,E05009403
Hale End & Highams Park South,60.30%,E05013889
Bromley South,22.30%,E05009322
Hillingdon West,53.30%,E05013572
Abbey Wood,57.60%,E05014072
Wandsworth Town,25.90%,E05014028
New Addington South,48.10%,E05011471
South Croydon,52.50%,E05011484
Clerkenwell,24.50%,E05013702
Norbury & Pollards Hill,29.70%,E05011472
Downham,46.00%,E05013720
Addiscombe West,20.50%,E05011463
Barnhill,53.80%,E05013497
Hanger Hill,50.00%,E05013524
Abbey,23.10%,E05014053
Streatham Wells,32.40%,E05014116
Wimbledon Town & Dundonald,26.00%,E05013829
Champion Hill,50.50%,E05011097
Dalston,20.00%,E05009370
Aldborough,77.60%,E05011234
Stroud Green,34.30%,E05013600
Selsdon Vale & Forestdale,76.30%,E05011481
Leyton,28.40%,E05013896
Wanstead Village,45.30%,E05011255
Forest Hill,42.00%,E05013722
William Morris,20.80%,E05013902
High Street,16.40%,E05013891
East Finchley,53.40%,E05013636
Poplar,22.80%,E05009328
St. Helen's,32.90%,E05009404
Cranbrook,24.00%,E05011241
Whetstone,47.50%,E05013650
North Walworth,24.10%,E05011107
St James's,26.90%,E05013806
