NAME,bad health rate,ward_code
City of London,0.026831545,E09000001
Abbey,0.034561049,E05014053
Alibon,0.051406598,E05014054
Barking Riverside,0.033200795,E05014055
Beam,0.042349563,E05014056
Becontree,0.058126468,E05014057
Chadwell Heath,0.054200738,E05014058
Eastbrook & Rush Green,0.052102377,E05014059
Eastbury,0.052139632,E05014060
Gascoigne,0.037459131,E05014061
Goresbrook,0.055563668,E05014062
Heath,0.056407448,E05014063
Longbridge,0.038689805,E05014064
Mayesbrook,0.049519539,E05014065
Northbury,0.039769714,E05014066
Parsloes,0.061782936,E05014067
Thames View,0.054010979,E05014068
Valence,0.057997638,E05014069
Village,0.049118089,E05014070
Whalebone,0.035817325,E05014071
Barnet Vale,0.037258699,E05013628
Brunswick Park,0.038571075,E05013629
Burnt Oak,0.049745252,E05013630
Childs Hill,0.043709087,E05013631
Colindale North,0.045465253,E05013632
Colindale South,0.035479286,E05013633
Cricklewood,0.051127098,E05013634
East Barnet,0.040627937,E05013635
East Finchley,0.045203969,E05013636
Edgware,0.03383915,E05013637
Edgwarebury,0.04108257,E05013638
Finchley Church End,0.03492569,E05013639
Friern Barnet,0.042860141,E05013640
Garden Suburb,0.025655194,E05013641
Golders Green,0.038354898,E05013642
Hendon,0.03475729,E05013643
High Barnet,0.044126218,E05013644
Mill Hill,0.038597475,E05013645
Totteridge & Woodside,0.03086834,E05013646
Underhill,0.05265728,E05013647
West Finchley,0.036945432,E05013648
West Hendon,0.042639476,E05013649
Whetstone,0.038990826,E05013650
Woodhouse,0.049305213,E05013651
Barnehurst,0.042413381,E05011217
Belvedere,0.043956044,E05011218
Bexleyheath,0.0431343,E05011219
Blackfen & Lamorbey,0.040726506,E05011220
Blendon & Penhill,0.037567429,E05011221
Crayford,0.050796438,E05011222
Crook Log,0.039108256,E05011223
East Wickham,0.044237414,E05011224
Erith,0.042307392,E05011225
Falconwood & Welling,0.033443808,E05011226
Longlands,0.045386683,E05011227
Northumberland Heath,0.044295787,E05011228
St Mary's & St James,0.042745279,E05011229
Sidcup,0.054030003,E05011230
Slade Green & Northend,0.050174757,E05011231
Thamesmead East,0.045046741,E05011232
West Heath,0.037585349,E05011233
Alperton,0.033470854,E05013496
Barnhill,0.046373261,E05013497
Brondesbury Park,0.047468587,E05013498
Cricklewood & Mapesbury,0.041833811,E05013499
Dollis Hill,0.048381884,E05013500
Harlesden & Kensal Green,0.049278248,E05013501
Kenton,0.044111833,E05013502
Kilburn,0.049412859,E05013503
Kingsbury,0.044238503,E05013504
Northwick Park,0.03694236,E05013505
Preston,0.041944556,E05013506
Queens Park,0.0382568,E05013507
Queensbury,0.036586812,E05013508
Roundwood,0.058187714,E05013509
Stonebridge,0.059199129,E05013510
Sudbury,0.03751542,E05013511
Tokyngton,0.040443772,E05013512
Welsh Harp,0.043251836,E05013513
Wembley Central,0.037680355,E05013514
Wembley Hill,0.037666602,E05013515
Wembley Park,0.019124967,E05013516
Willesden Green,0.045601418,E05013517
Beckenham Town & Copers Cope,0.032772586,E05013987
Bickley & Sundridge,0.033810727,E05013988
Biggin Hill,0.036135761,E05013989
Bromley Common & Holwood,0.04107058,E05013990
Bromley Town,0.027819929,E05013991
Chelsfield,0.032297274,E05013992
Chislehurst,0.037565933,E05013993
Clock House,0.03450289,E05013994
Crystal Palace & Anerley,0.051080387,E05013995
Darwin,0.040834846,E05013996
Farnborough & Crofton,0.033464567,E05013997
Hayes & Coney Hall,0.030653043,E05013998
Kelsey & Eden Park,0.034284236,E05013999
Mottingham,0.053034255,E05014000
Orpington,0.041585127,E05014001
Penge & Cator,0.043683218,E05014002
Petts Wood & Knoll,0.028568042,E05014003
Plaistow,0.03850951,E05014004
Shortlands & Park Langley,0.025344518,E05014005
St Mary Cray,0.051482812,E05014006
St Paul's Cray,0.059748984,E05014007
West Wickham,0.03159889,E05014008
Belsize,0.027422152,E05013652
Bloomsbury,0.046437995,E05013653
Camden Square,0.054343235,E05013654
Camden Town,0.051774714,E05013655
Fortune Green,0.041688289,E05013656
Frognal,0.023917259,E05013657
Gospel Oak,0.06848965,E05013658
Hampstead Town,0.025840752,E05013659
Haverstock,0.060955244,E05013660
