NAME,Population per square kilometre,ward_code
City of London,2590.923516,E09000001
Abbey,13243.15872,E05000026
Alibon,8319.617928,E05000027
Becontree,11597.35202,E05000028
Chadwell Heath,3342.307692,E05000029
Eastbrook,3193.977997,E05000030
Eastbury,8511.418685,E05000031
Gascoigne,14639.32981,E05000032
Goresbrook,9791.40625,E05000033
Heath,5931.670823,E05000034
Longbridge,7453.04878,E05000035
Mayesbrook,6131.280389,E05000036
Parsloes,8356.395817,E05000037
River,3795.326577,E05000038
Thames,2486.047692,E05000039
Valence,9092.807425,E05000040
Village,5196.728972,E05000041
Whalebone,8218.146718,E05000042
Brunswick Park,5299.621928,E05000043
Burnt Oak,9809.593023,E05000044
Childs Hill,7382.971836,E05000045
Colindale,12064.34519,E05000046
Coppetts,6561.029412,E05000047
East Barnet,4670.842217,E05000048
East Finchley,6876.386688,E05000049
Edgware,3829.136691,E05000050
Finchley Church End,6316.352898,E05000051
Garden Suburb,3564.151342,E05000052
Golders Green,7782.740094,E05000053
Hale,3448.542973,E05000054
Hendon,7114.788732,E05000055
High Barnet,1934.16777,E05000056
Mill Hill,2596.995845,E05000057
Oakleigh,5128.127826,E05000058
Totteridge,2002.509124,E05000059
Underhill,3651.142355,E05000060
West Finchley,8250.80981,E05000061
West Hendon,6163.16404,E05000062
Woodhouse,7224.732006,E05000063
Barnehurst,3953.658537,E05000064
Belvedere,4338.500475,E05000065
Blackfen and Lamorbey,6529.934795,E05000066
Blendon and Penhill,5266.920877,E05000067
Brampton,5649.265079,E05000068
Christchurch,4895.99686,E05000069
Colyers,6590.493601,E05000070
Crayford,3601.814516,E05000071
Cray Meadows,1721.046771,E05000072
Danson Park,4277.614138,E05000073
East Wickham,5381.281697,E05000074
Erith,3275.651808,E05000075
Falconwood and Welling,6765.765766,E05000076
Lesnes Abbey,5449.367089,E05000077
Longlands,4255.015432,E05000078
North End,2446.124099,E05000079
Northumberland Heath,6134.997164,E05000080
St. Mary's,2681.643712,E05000081
St. Michael's,8059.556787,E05000082
Sidcup,4565.507032,E05000083
Thamesmead East,2887.120116,E05000084
Alperton,8936.831876,E05000085
Barnhill,5685.714286,E05000086
Brondesbury Park,7832.752613,E05000087
Dollis Hill,6300.696258,E05000088
Dudden Hill,10010.70155,E05000089
Fryent,5559.44319,E05000090
Harlesden,14758.74439,E05000091
Kensal Green,13602.14095,E05000092
Kenton,5648.888889,E05000093
Kilburn,19597.45763,E05000094
Mapesbury,11651.36298,E05000095
Northwick Park,4690.23569,E05000096
Preston,6764.091858,E05000097
Queens Park,10725.9906,E05000098
Queensbury,9594.146341,E05000099
Stonebridge,5042.909988,E05000100
Sudbury,7695.774648,E05000101
Tokyngton,8073.444284,E05000102
Welsh Harp,6100.778547,E05000103
Wembley Central,11363.06925,E05000104
Willesden Green,10692.9541,E05000105
Bickley,3429.862395,E05000106
Biggin Hill,1306.20623,E05000107
Bromley Common and Keston,2145.295037,E05000108
Bromley Town,5596.288327,E05000109
Chelsfield and Pratts Bottom,1235.392453,E05000110
Chislehurst,1625.227294,E05000111
Clock House,7527.360989,E05000112
Copers Cope,5193.244066,E05000113
Cray Valley East,1259.557495,E05000114
Cray Valley West,4483.240223,E05000115
Crystal Palace,6025.294374,E05000116
Darwin,191.2519373,E05000117
Farnborough and Crofton,2204.574696,E05000118
Hayes and Coney Hall,1570.490894,E05000119
Kelsey and Eden Park,3349.807692,E05000120
Mottingham and Chislehurst North,4307.880768,E05000121
Orpington,3762.218045,E05000122
Penge and Cator,6257.017247,E05000123
Petts Wood and Knoll,3509.065551,E05000124
Plaistow and Sundridge,4208.615076,E05000125
Shortlands,4292.345277,E05000126
West Wickham,3528.665307,E05000127
Belsize,18643.58974,E05000128
Bloomsbury,12125.36729,E05000129
Camden Town with Primrose Hill,12661.23499,E05000130
Cantelowes,18934.03694,E05000131
Fortune Green,13712.43781,E05000132
Frognal and Fitzjohns,9142.857143,E05000133
Gospel Oak,18855.2822,E05000134
Hampstead Town,5082.857143,E05000135
Haverstock,19385.2459,E05000136
Highgate,3726.095003,E05000137
Holborn and Covent Garden,12800.99917,E05000138
Kentish Town,15298.63813,E05000139
Kilburn,20634.11079,E05000140
King's Cross,21837.70492,E05000141
Regent's Park,11442.96296,E05000142
St. Pancras and Somers Town,14262.14286,E05000143
Swiss Cottage,12107.39857,E05000144
West Hampstead,16401.35287,E05000145
Addiscombe,11702.82132,E05000146
Ashburton,5380.987472,E05000147
Bensham Manor,12090.59474,E05000148
Broad Green,8616.047994,E05000149
Coulsdon East,1626.888803,E05000150
Coulsdon West,3319.119119,E05000151
Croham,4933.863185,E05000152
Fairfield,7765.737052,E05000153
Fieldway,8078.787879,E05000154
Heathfield,1529.391504,E05000155
Kenley,2440.402477,E05000156
New Addington,4749.588138,E05000157
Norbury,7244.444444,E05000158
Purley,3953.989935,E05000159
Sanderstead,2055.94075,E05000160
Selhurst,8542.380325,E05000161
Selsdon and Ballards,1898.844833,E05000162
Shirley,5138.571429,E05000163
South Norwood,7424.611508,E05000164
Thornton Heath,10450.32719,E05000165
Upper Norwood,6497.328244,E05000166
Waddon,5116.630077,E05000167
West Thornton,9853.596758,E05000168
Woodside,7913.705584,E05000169
Acton Central,9187.042254,E05000170
Cleveland,6951.164875,E05000171
Dormers Wells,6510.402833,E05000172
Ealing Broadway,8843.295638,E05000173
Ealing Common,6650.934579,E05000174
East Acton,5648.174157,E05000175
Elthorne,8454,E05000176
Greenford Broadway,7417.129262,E05000177
Greenford Green,4961.254067,E05000178
Hanger Hill,4915.69945,E05000179
Hobbayne,6540.307971,E05000180
Lady Margaret,8998.050682,E05000181
Northfield,9070.358306,E05000182
North Greenford,4662.561576,E05000183
Northolt Mandeville,5687.5,E05000184
Northolt West End,4131.059752,E05000185
Norwood Green,4357.670005,E05000186
Perivale,4700.742942,E05000187
South Acton,10860.96568,E05000188
Southall Broadway,9905.67201,E05000189
Southall Green,11128.07571,E05000190
Southfield,9666.202091,E05000191
Walpole,9295.361528,E05000192
Bowes,10241.07744,E05000193
Bush Hill Park,5888.756928,E05000194
Chase,867.2096317,E05000195
Cockfosters,1548.765254,E05000196
Edmonton Green,6157.238734,E05000197
Enfield Highway,3660.487174,E05000198
Enfield Lock,5674.561673,E05000199
Grange,4365.794279,E05000200
Haselbury,9779.632721,E05000201
Highlands,2881.878931,E05000202
Jubilee,3804.492088,E05000203
Lower Edmonton,8135.172414,E05000204
Palmers Green,8520.865533,E05000205
Ponders End,5015.51481,E05000206
Southbury,5681.215084,E05000207
Southgate,6053.140097,E05000208
Southgate Green,6160.48911,E05000209
Town,7203.313927,E05000210
Turkey Street,6896.765618,E05000211
Upper Edmonton,8542.0596,E05000212
Winchmore Hill,5282.5535,E05000213
Abbey Wood,6113.079533,E05000214
Blackheath Westcombe,6372.778297,E05000215
Charlton,7571.779744,E05000216
Coldharbour and New Eltham,5351.902707,E05000217
Eltham North,4981.176471,E05000218
Eltham South,2792.30603,E05000219
Eltham West,6536.273702,E05000220
Glyndon,11509.38967,E05000221
Greenwich West,7923.131927,E05000222
Kidbrooke with Hornfair,6222.455845,E05000223
Middle Park and Sutcliffe,4091.047503,E05000224
Peninsula,5558.232932,E05000225
Plumstead,7658.017865,E05000226
Shooters Hill,3541.534392,E05000227
Thamesmead Moorings,4440.864685,E05000228
Woolwich Common,8351.526718,E05000229
Woolwich Riverside,7798.748044,E05000230
Brownswood,18819.26278,E05000231
Cazenove,21728.07018,E05000232
Chatham,17605.06051,E05000233
Clissold,18985.75499,E05000234
Dalston,18565.26429,E05000235
De Beauvoir,19638.92013,E05000236
Hackney Central,19048.71795,E05000237
Hackney Downs,14118.86051,E05000238
Haggerston,15445.6959,E05000239
Hoxton,22153.75447,E05000240
King's Park,6893.605292,E05000241
Leabridge,14836.46617,E05000242
Lordship,11762.38455,E05000243
New River,18139.36928,E05000244
Queensbridge,13887.96296,E05000245
Springfield,14615.54622,E05000246
Stoke Newington Central,18872.19101,E05000247
Victoria,17849.50249,E05000248
Wick,8262.254902,E05000249
Addison,20862.56781,E05000250
Askew,19454.54545,E05000251
Avonmore and Brook Green,13315.0838,E05000252
College Park and Old Oak,3485.755814,E05000253
Fulham Broadway,18559.22039,E05000254
Fulham Reach,13858.27664,E05000255
Hammersmith Broadway,13361.41304,E05000256
Munster,17772.07063,E05000257
North End,18686.52038,E05000258
Palace Riverside,5010.128292,E05000259
Parsons Green and Walham,12574.61024,E05000260
Ravenscourt Park,8894.262295,E05000261
Sands End,10893.9724,E05000262
Shepherd's Bush Green,13281.16214,E05000263
Town,17164.61538,E05000264
Wormholt and White City,14967.92035,E05000265
Alexandra,4887.485649,E05000266
Bounds Green,10937.86127,E05000267
Bruce Grove,16627.28249,E05000268
Crouch End,9580.555556,E05000269
Fortis Green,7031.594784,E05000270
Harringay,9668.37388,E05000271
Highgate,5244.897959,E05000272
Hornsey,13029.38389,E05000273
Muswell Hill,7607.142857,E05000274
Noel Park,14013.82114,E05000275
Northumberland Park,9613.913967,E05000276
St. Ann's,14731.99635,E05000277
Seven Sisters,14300.3096,E05000278
Stroud Green,11617.3516,E05000279
Tottenham Green,13166.78913,E05000280
Tottenham Hale,10704.86656,E05000281
West Green,10522.88984,E05000282
White Hart Lane,7944.608132,E05000283
Woodside,10947.72118,E05000284
Belmont,6585.722316,E05000285
Canons,2714.082756,E05000286
Edgware,9810.849393,E05000287
Greenhill,10397.25243,E05000288
Harrow on the Hill,3740.13986,E05000289
Harrow Weald,2603.181521,E05000290
Hatch End,3392.258458,E05000291
Headstone North,3494.081942,E05000292
Headstone South,8425.444596,E05000293
Kenton East,8700.234192,E05000294
Kenton West,6648.725212,E05000295
Marlborough,8792.223572,E05000296
Pinner,3202.446483,E05000297
Pinner South,4696.132597,E05000298
Queensbury,7765.034098,E05000299
Rayners Lane,7603.267974,E05000300
Roxbourne,8821.381142,E05000301
Roxeth,7448.604061,E05000302
Stanmore Park,2778.725314,E05000303
Wealdstone,10872.59011,E05000304
West Harrow,7160.420776,E05000305
Brooklands,4768.15044,E05000306
Cranham,2021.812081,E05000307
Elm Park,3748.841014,E05000308
Emerson Park,2674.498814,E05000309
Gooshays,2134.647597,E05000310
Hacton,5271.028037,E05000311
Harold Wood,2015.139547,E05000312
Havering Park,1392.317123,E05000313
Heaton,4184.187408,E05000314
Hylands,4670.916609,E05000315
Mawneys,4484.749098,E05000316
Pettits,3486.213003,E05000317
Rainham and Wennington,784.1420118,E05000318
Romford Town,6833.565946,E05000319
St. Andrew's,5282.098995,E05000320
South Hornchurch,2564.918943,E05000321
Squirrel's Heath,5475.812547,E05000322
Upminster,605.1744031,E05000323
Barnhill,6651.722511,E05000324
Botwell,5501.37237,E05000325
Brunel,4397.619774,E05000326
Cavendish,6297.565822,E05000327
Charville,4395.22368,E05000328
Eastcote and East Ruislip,3644.406111,E05000329
Harefield,518.3263269,E05000330
Heathrow Villages,589.5855473,E05000331
Hillingdon East,3882.30384,E05000332
Ickenham,1801.031094,E05000333
Manor,6308.004053,E05000334
Northwood,1553.605185,E05000335
Northwood Hills,3797.475962,E05000336
Pinkwell,5924.562682,E05000337
South Ruislip,1860.612603,E05000338
Townfield,4991.423671,E05000339
Uxbridge North,3705.374487,E05000340
Uxbridge South,5133.140841,E05000341
West Drayton,5467.621777,E05000342
West Ruislip,2842.824601,E05000343
Yeading,6425.814751,E05000344
Yiewsley,3904.061799,E05000345
Bedfont,3061.389701,E05000346
Brentford,6043.614685,E05000347
Chiswick Homefields,5394.946809,E05000348
