ward_code,Observation
E05000650,2143.2
E05000651,1244.2
E05000652,3880.6
E05000653,1955.9
E05000654,5029.6
E05000655,3803.2
E05000656,4473.3
E05000657,5753
E05000658,5147.9
E05000659,1714.7
E05000660,994.9
E05000661,1237.7
E05000662,1410.5
E05000663,1921.2
E05000664,2488.1
E05000665,9385.3
E05000666,1355.4
E05000667,4413.9
E05000668,849.4
E05000669,2104.6
E05000719,4431.2
E05000720,2220.5
E05000721,3194.1
E05000722,4943.4
E05000723,5447.6
E05000724,2124.2
E05000725,2284.3
E05000726,4335.9
E05000727,4441.3
E05000728,4142.7
E05000729,1996.4
E05000730,2719.7
E05000731,235.9
E05000732,304.9
E05000733,2609.2
E05000734,2498.5
E05000735,5951.7
E05000736,1375.5
E05000737,5712.3
E05000738,8962.8
E05000779,1946.9
E05000780,1399
E05000781,2218
E05000782,1782.5
E05000783,3248.9
E05000784,2684.9
E05000785,3454.6
E05000786,3085.8
E05000787,5284.5
E05000788,4777.5
E05000789,3931.9
E05000790,2738
E05000791,4121
E05000792,3600.7
E05000793,4561.4
E05000794,550.1
E05000795,869.5
E05000796,3277.1
E05000797,5716.5
E05000798,3552.5
E05000799,3005.8
E05000800,2394.8
E05000801,5707.7
E05000802,2599.9
E05000803,2731.2
E05000804,4031.6
E05000805,3824.2
E05000806,2241.7
E05000807,3843.3
E05000808,5057.7
E05000809,3388.9
E05000810,3773.4
E05000811,2562
E05000812,3447.6
E05000813,1760.8
E05000814,894.2
E05000815,1219.8
E05000816,4042.8
E05000817,2245.3
E05000818,663
E05000819,4263.7
E05000820,4502
E05000821,388.7
E05000822,3416.4
E05000823,4719.7
E05000824,771.4
E05000825,7178.6
E05000826,2288.4
E05000827,2329.3
E05000828,2692.4
E05000829,1377
E05000830,1208.5
E05000831,4003.1
E05000832,3704.6
E05000833,3451.3
E05000834,4414.5
E05000835,3752.6
E05000836,3545.9
E05000837,5467.8
E05000838,3011.3
E05000839,4821.6
E05000840,1224.9
E05000841,2008.8
E05000842,632.5
E05000843,743.8
E05000844,2133.7
E05000845,3298.9
E05000846,1677.8
E05000847,3451.4
E05000848,1488.2
E05000849,2641.7
E05000850,2735.5
E05000851,2827.9
E05000852,2627.5
E05000853,2144.5
E05000854,2273.6
E05000855,1232.4
E05000856,1360.8
E05000857,2296.6
E05000858,1300.5
E05000859,1339
E05000860,2551.2
E05000861,3405.9
E05000862,5049.7
E05000863,1889.4
E05000864,2039.3
E05000886,2401.1
E05000887,6309.7
E05000888,3306.6
E05000889,7688.7
E05000890,4205
E05000891,3925.9
E05000892,5592.3
E05000893,7064.2
E05000894,4780.9
E05000895,2724.9
E05000896,4867.7
E05000897,2720.3
E05000898,7210.7
E05000899,8239.2
E05000900,3056.2
E05000901,4139.3
E05000902,3837.4
E05000903,7429.2
E05000904,6211.6
E05000905,6228.3
E05000906,7827.7
E05000907,6120.7
E05000908,3790.6
E05000909,1741.8
