Area name,Domestic Buildings area rate,Non Domestic Buildings area rate
Abbey,0.115866315,0.087202929
Alibon,0.113086489,0.027340075
Becontree,0.152095668,0.034252107
Chadwell Heath,0.052763013,0.016628639
Eastbrook,0.061979675,0.047903726
Eastbury,0.120532322,0.039013671
Gascoigne,0.108267208,0.095478551
Goresbrook,0.127517924,0.024705919
Heath,0.079773838,0.041996528
Longbridge,0.137859589,0.025330308
Mayesbrook,0.090367358,0.016546904
Parsloes,0.127292489,0.02365349
River,0.059829378,0.15280089
Thames,0.031921973,0.093748278
Valence,0.127641615,0.04532466
Village,0.084077053,0.018730151
Whalebone,0.124270678,0.087421737
Brunswick Park,0.102892614,0.032078304
Burnt Oak,0.107519397,0.038368018
Childs Hill,0.128538726,0.042229735
Colindale,0.080134364,0.102154331
Coppetts,0.108557134,0.03572575
East Barnet,0.094092867,0.021532248
East Finchley,0.103158012,0.03470203
Edgware,0.061108407,0.023625751
Finchley Church End,0.137400773,0.032273317
Garden Suburb,0.095760442,0.027188004
Golders Green,0.132255164,0.048188378
Hale,0.06456027,0.009199694
Hendon,0.117027013,0.049925907
High Barnet,0.050230115,0.016681703
Mill Hill,0.047191143,0.019396052
Oakleigh,0.113340809,0.021871077
Totteridge,0.045349507,0.013334786
Underhill,0.072860707,0.016524743
West Finchley,0.141582408,0.049381181
West Hendon,0.089386309,0.046479328
Woodhouse,0.12543191,0.045795825
Barnehurst,0.083027624,0.022150454
Belvedere,0.079784753,0.077720694
Blackfen and Lamorbey,0.149297204,0.024345698
Blendon and Penhill,0.127865202,0.023611942
Brampton,0.138463024,0.012810675
Christchurch,0.116425274,0.061679589
Colyers,0.125239212,0.017014023
Crayford,0.056841348,0.06674961
Cray Meadows,0.037749726,0.02437157
Danson Park,0.09265722,0.029125387
East Wickham,0.10490744,0.019965179
Erith,0.016244583,0.032401042
Falconwood and Welling,0.137341254,0.036279731
Lesnes Abbey,0.086428503,0.018686337
Longlands,0.094945208,0.031193085
North End,0.041249707,0.04498758
Northumberland Heath,0.126146737,0.033652754
St Mary's,0.067268461,0.016538112
St Michael's,0.151466908,0.017053671
Sidcup,0.10284511,0.042870072
Thamesmead East,0.036424692,0.036265786
Alperton,0.085935068,0.142744211
Barnhill,0.097985841,0.024672862
Brondesbury Park,0.155189794,0.028897849
Dollis Hill,0.082927616,0.089531914
Dudden Hill,0.157438719,0.066353483
Fryent,0.082595748,0.041600553
Harlesden,0.221315159,0.051421286
Kensal Green,0.227858242,0.048949012
Kenton,0.1125545,0.022229178
Kilburn,0.170183777,0.089506911
Mapesbury,0.206062057,0.034460989
Northwick Park,0.094055782,0.031988079
Preston,0.111133072,0.048629918
Queens Park,0.194186895,0.043770611
Queensbury,0.108225973,0.092341201
Stonebridge,0.058703451,0.173725145
Sudbury,0.109712971,0.021414939
Tokyngton,0.08432862,0.123133837
Welsh Harp,0.115951549,0.021020768
Wembley Central,0.122844868,0.072467779
Willesden Green,0.137939617,0.069036816
Bickley,0.098282764,0.01892814
Biggin Hill,0.035912217,0.013279453
Bromley Common and Keston,0.049788167,0.011111019
Bromley Town,0.109554312,0.072745209
Chelsfield and Pratts Bottom,0.032921216,0.006044031
Chislehurst,0.048090503,0.012107835
Clock House,0.155030493,0.03021477
Copers Cope,0.102100967,0.048053204
Cray Valley East,0.027571429,0.017938083
Cray Valley West,0.091023459,0.025640375
Crystal Palace,0.075387063,0.029821459
Darwin,0.008489159,0.003882216
Farnborough and Crofton,0.066128155,0.013303474
Hayes and Coney Hall,0.038432412,0.008553849
Kelsey and Eden Park,0.077240056,0.031946682
Mottingham and Chislehurst North,0.08485471,0.017776084
Orpington,0.097337031,0.027991102
Penge and Cator,0.117890514,0.06245011
Petts Wood and Knoll,0.09760529,0.009547936
Plaistow and Sundridge,0.090761136,0.018109359
Shortlands,0.114315038,0.014128505
West Wickham,0.086664084,0.018590131
Belsize,0.204227922,0.060186633
Bloomsbury,0.102759053,0.349800125
Camden Town with Primrose Hill,0.11870439,0.13249561
Cantelowes,0.177828944,0.092947164
Fortune Green,0.179924597,0.043076378
Frognal and Fitzjohns,0.176084374,0.044634583
Gospel Oak,0.181003062,0.087257618
Hampstead Town,0.086289344,0.040106083
Haverstock,0.134931683,0.113781033
Highgate,0.060160757,0.027437487
Holborn and Covent Garden,0.101429844,0.37142643
Kentish Town,0.153897303,0.167870824
Kilburn,0.15199398,0.131220585
King's Cross,0.131786998,0.220695851
Regent's Park,0.101867952,0.1640783
St Pancras and Somers Town,0.060195287,0.217946952
Swiss Cottage,0.155994383,0.05350555
West Hampstead,0.184342208,0.08653466
Addiscombe,0.188314244,0.054130584
Ashburton,0.120497425,0.021091081
Bensham Manor,0.196785043,0.039323447
Broad Green,0.109844786,0.147511565
Coulsdon East,0.045805136,0.010120815
Coulsdon West,0.075424115,0.023248431
Croham,0.103007047,0.028342703
Fairfield,0.086503773,0.088517701
Fieldway,0.113671867,0.020954767
Heathfield,0.038640365,0.011761934
Kenley,0.063447186,0.008478761
New Addington,0.079334079,0.036817477
Norbury,0.137874177,0.029294438
Purley,0.097367277,0.0250856
Sanderstead,0.056927334,0.007731198
Selhurst,0.127166625,0.0835104
Selsdon and Ballards,0.052705464,0.00926771
Shirley,0.116541499,0.019900077
South Norwood,0.121402576,0.040889107
Thornton Heath,0.182359889,0.036963326
Upper Norwood,0.117336533,0.029250751
Waddon,0.087231804,0.079033348
West Thornton,0.148977037,0.073875298
Woodside,0.139043515,0.024103209
Acton Central,0.144564801,0.03166212
Cleveland,0.111859721,0.030812402
Dormers Wells,0.075932315,0.023799552
Ealing Broadway,0.146869656,0.086935479
Ealing Common,0.133194925,0.02997952
East Acton,0.067650937,0.18393614
Elthorne,0.1190134,0.066680213
Greenford Broadway,0.092131019,0.041958042
Greenford Green,0.070388047,0.118970044
Hanger Hill,0.099165991,0.049954248
Hobbayne,0.103922278,0.020643335
Lady Margaret,0.12303338,0.031696689
Northfield,0.167620499,0.039859106
North Greenford,0.069745048,0.011952338
Northolt Mandeville,0.087696171,0.045052177
Northolt West End,0.061087612,0.014495318
Norwood Green,0.057844181,0.071144397
Perivale,0.069756721,0.075135978
South Acton,0.138108636,0.092975399
Southall Broadway,0.133343468,0.058423277
Southall Green,0.125952482,0.126819411
Southfield,0.197783137,0.077009723
Walpole,0.177527599,0.047585562
Bowes,0.16604891,0.027852759
Bush Hill Park,0.122016586,0.021969943
Chase,0.016923188,0.007664321
Cockfosters,0.039119235,0.008473043
Edmonton Green,0.079405804,0.077440425
Enfield Highway,0.059546674,0.09024977
Enfield Lock,0.081955743,0.04883449
Grange,0.104275643,0.026737266
Haselbury,0.137153362,0.032635012
Highlands,0.062943051,0.017938584
Jubilee,0.05460153,0.033117647
Lower Edmonton,0.146691891,0.033419714
Palmers Green,0.141809683,0.046857952
Ponders End,0.070709664,0.078201306
Southbury,0.086916685,0.099336865
Southgate,0.104728608,0.041741447
Southgate Green,0.118074353,0.025747625
Town,0.14061909,0.036592395
Turkey Street,0.111798216,0.021528621
Upper Edmonton,0.102172498,0.096591632
Winchmore Hill,0.121617357,0.022106641
Abbey Wood,0.090292556,0.028617538
Blackheath Westcombe,0.121116482,0.036120666
Charlton,0.111207824,0.033286064
Coldharbour and New Eltham,0.118286294,0.014103895
Eltham North,0.113213715,0.02462606
Eltham South,0.056132971,0.029513746
Eltham West,0.087740889,0.030858782
Glyndon,0.144912609,0.044350811
Greenwich West,0.075180822,0.069887362
Kidbrooke with Hornfair,0.101525792,0.022874248
Middle Park and Sutcliffe,0.081097798,0.023749085
Peninsula,0.058705912,0.150359773
Plumstead,0.111871727,0.027868706
Shooters Hill,0.069396198,0.014452478
Thamesmead Moorings,0.055339202,0.051047097
Woolwich Common,0.080206694,0.074989688
Woolwich Riverside,0.073476959,0.164452203
Brownswood,0.136402397,0.067022763
Cazenove,0.19138414,0.096399603
Chatham,0.153517295,0.140136583
Clissold,0.209685223,0.08390255
Dalston,0.169040013,0.131387731
De Beauvoir,0.140022631,0.127541817
Hackney Central,0.159896858,0.111808177
Hackney Downs,0.141158374,0.056834093
Haggerston,0.085488424,0.229078627
Hoxton,0.084318871,0.179301916
King's Park,0.060032241,0.030830311
Leabridge,0.16056863,0.082606782
Lordship,0.121496112,0.051544314
New River,0.127497592,0.074020944
Queensbridge,0.142678337,0.085271455
Springfield,0.120287748,0.076976944
Stoke Newington Central,0.231357742,0.094353231
Victoria,0.172395697,0.084404793
Wick,0.083891529,0.100248971
Addison,0.255038361,0.107356558
Askew,0.224950223,0.092815042
Avonmore and Brook Green,0.140774014,0.181415979
College Park and Old Oak,0.04745737,0.097781566
Fulham Broadway,0.209221505,0.131476849
Fulham Reach,0.188392205,0.095286236
Hammersmith Broadway,0.145925028,0.171726968
Munster,0.304816274,0.046409906
North End,0.188560146,0.133988402
Palace Riverside,0.067501975,0.039402569
Parsons Green and Walham,0.218408806,0.106195185
Ravenscourt Park,0.172925392,0.071534919
Sands End,0.0998146,0.098936735
Shepherd's Bush Green,0.16838305,0.11162056
Town,0.246524589,0.127901453
Wormholt and White City,0.151554875,0.054417872
Alexandra,0.099101633,0.024177331
