NAME,% Open Space with access
Abbey,6.790378521
Alibon,17.21617388
Becontree,0.684384795
Chadwell Heath,33.56236552
Eastbrook,35.26026876
Eastbury,11.44126631
Gascoigne,15.50617853
Goresbrook,9.739703458
Heath,26.82744815
Longbridge,19.06764757
Mayesbrook,38.78341391
Parsloes,13.69742259
River,14.40682689
Thames,38.35453234
Valence,10.36244427
Village,42.23375685
Whalebone,0.144946537
Brunswick Park,16.52449228
Burnt Oak,13.50938387
Childs Hill,6.701286198
Colindale,6.016977206
Coppetts,14.3240447
East Barnet,19.83168477
East Finchley,27.37541201
Edgware,6.379769278
Finchley Church End,8.026701915
Garden Suburb,15.45897383
Golders Green,7.613623445
Hale,42.20328577
Hendon,11.85559755
High Barnet,18.69657537
Mill Hill,15.80906759
Oakleigh,1.676959973
Totteridge,11.83728989
Underhill,30.74413699
West Finchley,6.084145692
West Hendon,27.17130632
Woodhouse,8.425894795
Barnehurst,32.04098765
Belvedere,23.17805258
Blackfen and Lamorbey,8.479731501
Blendon and Penhill,9.219552589
Brampton,6.376487793
Christchurch,4.995464741
Colyers,3.556868515
Crayford,21.89163404
Cray Meadows,27.03570397
Danson Park,32.17370447
East Wickham,20.67035899
Erith,40.44261616
Falconwood and Welling,0
Lesnes Abbey,34.20289734
Longlands,15.05277068
North End,43.39177587
Northumberland Heath,9.713013136
St. Mary's,21.2157632
St. Michael's,0.886309943
Sidcup,13.38758881
Thamesmead East,40.6621121
Alperton,8.798124927
Barnhill,19.98817961
Brondesbury Park,1.618942531
Dollis Hill,22.74849322
Dudden Hill,6.509464399
Fryent,33.73774886
Harlesden,0.385460085
Kensal Green,0.079702978
Kenton,10.07300599
Kilburn,3.605148981
Mapesbury,3.293036679
Northwick Park,18.49813593
Preston,8.805247277
Queens Park,14.92287896
Queensbury,6.05363267
Stonebridge,6.689920243
Sudbury,19.39896003
Tokyngton,4.257380239
Welsh Harp,22.86137543
Wembley Central,11.40443407
Willesden Green,24.95457232
Bickley,5.721924538
Biggin Hill,6.1491091
Bromley Common and Keston,13.28124634
Bromley Town,8.083176396
Chelsfield and Pratts Bottom,8.276901615
Chislehurst,32.41772026
Clock House,9.686334667
Copers Cope,0.455651317
Cray Valley East,6.845693551
Cray Valley West,12.32122536
Crystal Palace,30.19064277
Darwin,11.69498613
Farnborough and Crofton,23.09024702
Hayes and Coney Hall,19.44594146
Kelsey and Eden Park,9.517134261
Mottingham and Chislehurst North,10.88400531
Orpington,11.71645227
Penge and Cator,7.268091921
Petts Wood and Knoll,13.90175387
Plaistow and Sundridge,2.908615477
Shortlands,2.013442085
West Wickham,10.59347132
Belsize,0.291483271
Bloomsbury,4.661512394
Camden Town with Primrose Hill,14.08669741
Cantelowes,3.282436138
Fortune Green,10.17927085
Frognal and Fitzjohns,2.510092352
Gospel Oak,4.332845471
Hampstead Town,50.24496222
Haverstock,4.406059787
Highgate,55.88390881
Holborn and Covent Garden,3.338513371
Kentish Town,1.520693866
Kilburn,9.188148326
King's Cross,3.59164828
Regent's Park,23.05642553
St. Pancras and Somers Town,5.587759513
Swiss Cottage,11.5899636
West Hampstead,1.343194275
Addiscombe,0
Ashburton,14.53809243
Bensham Manor,3.801823673
Broad Green,3.434521833
Coulsdon East,46.23342274
Coulsdon West,2.166458635
Croham,12.3484136
Fairfield,14.52816376
Fieldway,17.93438312
Heathfield,21.30596006
Kenley,26.47707974
New Addington,20.11760886
Norbury,10.8407935
Purley,1.274212819
Sanderstead,34.30366895
Selhurst,2.667233604
Selsdon and Ballards,28.45678781
Shirley,10.53099801
South Norwood,15.194391
Thornton Heath,9.60744459
Upper Norwood,7.628792003
Waddon,24.13218079
West Thornton,0.545075987
Woodside,27.40033842
Acton Central,8.819374519
Cleveland,15.25072463
Dormers Wells,15.99524003
Ealing Broadway,0.267538787
Ealing Common,8.943817491
East Acton,5.649359403
Elthorne,26.98023264
Greenford Broadway,21.04487589
Greenford Green,9.868472627
Hanger Hill,6.619152584
Hobbayne,16.67523115
Lady Margaret,14.24995699
Northfield,12.3978606
North Greenford,31.39325384
Northolt Mandeville,25.59089788
Northolt West End,21.04875449
Norwood Green,24.95946069
Perivale,17.2844575
South Acton,1.266352688
Southall Broadway,9.391171452
Southall Green,7.988837904
Southfield,7.190460402
Walpole,17.10783405
Bowes,8.122187538
Bush Hill Park,19.13803422
Chase,18.07766913
Cockfosters,21.98950569
Edmonton Green,26.40944088
Enfield Highway,33.91177199
Enfield Lock,29.96721212
Grange,6.682478173
Haselbury,5.493052263
Highlands,3.837066163
Jubilee,52.07917089
Lower Edmonton,21.80840061
Palmers Green,6.543169138
Ponders End,38.02874935
Southbury,20.90195606
Southgate,11.66535525
Southgate Green,16.01574942
Town,3.297429729
Turkey Street,18.17633525
Upper Edmonton,9.419268253
Winchmore Hill,14.75397053
Abbey Wood,33.88413722
Blackheath Westcombe,6.532766106
Charlton,18.70045641
Coldharbour and New Eltham,16.38508675
Eltham North,22.17169798
Eltham South,23.46286892
Eltham West,19.88594108
Glyndon,25.43039994
Greenwich West,43.53211595
Kidbrooke with Hornfair,13.95730306
Middle Park and Sutcliffe,18.12785259
Peninsula,30.21709183
Plumstead,22.97203289
Shooters Hill,40.97889517
Thamesmead Moorings,43.28989231
Woolwich Common,29.52369513
Woolwich Riverside,32.24734788
Queensbridge,13.79384342
Springfield,25.13423273
Stoke Newington Central,11.89052351
Victoria,19.56403048
Wick,15.93924056
Norland,2.828506718
Notting Barns,5.258974839
Pembridge,0
Queen's Gate,0.480129668
