NAME,Unemployed,Economically active rate
City of London,0.035313202,0.708385326
Abbey,0.048441734,0.692750678
Alibon,0.045454545,0.652587825
Barking Riverside,0.052296103,0.719976822
Beam,0.048684211,0.641611842
Becontree,0.05140776,0.626838493
Chadwell Heath,0.046923676,0.606795171
Eastbrook & Rush Green,0.042114435,0.624891083
Eastbury,0.050824293,0.635004698
Gascoigne,0.048870691,0.665830141
Goresbrook,0.048241305,0.635291806
Heath,0.044266191,0.635026738
Longbridge,0.037058595,0.614280171
Mayesbrook,0.044334975,0.632389163
Northbury,0.058762993,0.651126891
Parsloes,0.050288109,0.633752401
Thames View,0.052721504,0.613375641
Valence,0.042915774,0.62678444
Village,0.051569507,0.63944053
Whalebone,0.039393647,0.672492034
Barnet Vale,0.036031519,0.64491404
Brunswick Park,0.033289867,0.632660888
Burnt Oak,0.047670187,0.632957461
Childs Hill,0.037248,0.64288
Colindale North,0.053545882,0.639587165
Colindale South,0.04404971,0.699134622
Cricklewood,0.049332844,0.621128657
East Barnet,0.037292429,0.643751759
East Finchley,0.042966983,0.657017941
Edgware,0.034580462,0.656578015
Edgwarebury,0.029564652,0.63601906
Finchley Church End,0.041382476,0.648806401
Friern Barnet,0.04070691,0.651641514
Garden Suburb,0.022178021,0.617702636
Golders Green,0.030328325,0.632999444
Hendon,0.038756983,0.654620577
High Barnet,0.030515716,0.623639508
Mill Hill,0.030471499,0.63216045
Totteridge & Woodside,0.028064243,0.635841082
Underhill,0.034850927,0.606970185
West Finchley,0.039318985,0.666366849
West Hendon,0.044615924,0.670782182
Whetstone,0.033739562,0.649176258
Woodhouse,0.036513951,0.647605925
Barnehurst,0.030472704,0.639926779
Belvedere,0.039052823,0.660473588
Bexleyheath,0.027583019,0.610370599
Blackfen & Lamorbey,0.022385209,0.637481855
Blendon & Penhill,0.022068196,0.650892288
Crayford,0.031316558,0.659856433
Crook Log,0.027318139,0.638385888
East Wickham,0.033150852,0.635188564
Erith,0.042670046,0.670468948
Falconwood & Welling,0.029001969,0.668029683
Longlands,0.027274922,0.615133961
Northumberland Heath,0.03749566,0.644369865
St Mary's & St James,0.027107062,0.60808656
Sidcup,0.028613296,0.596251735
Slade Green & Northend,0.047554206,0.658426731
Thamesmead East,0.053447265,0.645555835
West Heath,0.024049041,0.639421566
Alperton,0.03815844,0.659145583
Barnhill,0.042296735,0.60891957
Brondesbury Park,0.045314562,0.658073031
Cricklewood & Mapesbury,0.042878095,0.662496765
Dollis Hill,0.052812519,0.585679568
Harlesden & Kensal Green,0.055868721,0.646185644
Kenton,0.033208574,0.61326982
Kilburn,0.058259275,0.688390464
Kingsbury,0.039891599,0.646937669
Northwick Park,0.033455048,0.630711537
Preston,0.037739637,0.658737328
Queens Park,0.0423924,0.696127825
Queensbury,0.038677615,0.652477672
Roundwood,0.057029795,0.603351955
Stonebridge,0.061451437,0.577682072
Sudbury,0.040593075,0.648223488
Tokyngton,0.043304705,0.625619935
Welsh Harp,0.040799562,0.619112815
Wembley Central,0.040738209,0.634859877
Wembley Hill,0.04646243,0.668338165
Wembley Park,0.034955552,0.659334036
Willesden Green,0.049768885,0.658266321
Beckenham Town & Copers Cope,0.034380116,0.694076499
Bickley & Sundridge,0.024757282,0.628571429
Biggin Hill,0.020517395,0.619870651
Bromley Common & Holwood,0.030258598,0.662956545
Bromley Town,0.031632256,0.697156213
Chelsfield,0.021937446,0.626846221
Chislehurst,0.025745257,0.609198151
Clock House,0.032798887,0.713082949
Crystal Palace & Anerley,0.047504268,0.725921462
Darwin,0.018995633,0.57860262
Farnborough & Crofton,0.02449065,0.599497628
Hayes & Coney Hall,0.025108911,0.623366337
Kelsey & Eden Park,0.031040877,0.63017012
Mottingham,0.041001005,0.638923025
Orpington,0.030392058,0.601256205
Penge & Cator,0.043246753,0.704805195
Petts Wood & Knoll,0.021185185,0.611407407
Plaistow,0.033588686,0.658613239
Shortlands & Park Langley,0.025608291,0.652898768
St Mary Cray,0.030842951,0.625565229
