NAME,percentage,ward code
Hainault,22.05%,E05011245
Mayfield,14.11%,E05011248
Bromley Town,20.03%,E05013991
Cranham,18.48%,E05013968
West Dulwich,24.16%,E05014119
White City,19.44%,E05013752
Edmonton Green,10.56%,E05013679
Monkhams,34.88%,E05011249
Shaftesbury & Queenstown,9.98%,E05014019
South Norwood,10.44%,E05011485
Selsdon & Addington Village,30.35%,E05011480
Pimlico North,10.57%,E05013802
Northfield,16.14%,E05013530
Tottenham Central,12.06%,E05013601
Worcester Park North,9.97%,E05013772
Old Kent Road,14.77%,E05011109
Slade Green & Northend,3.07%,E05011231
Hanworth Park,18.61%,E05013615
Westbourne,25.54%,E05013809
Ealing Broadway,26.60%,E05013520
Larkswood,21.88%,E05013894
Golborne,18.64%,E05009396
Brentford East,16.10%,E05013607
Longbridge,12.13%,E05014064
Upminster,13.79%,E05013986
Headstone,12.50%,E05013550
St Alban's,8.36%,E05013981
Hounslow Central,10.38%,E05013620
Seven Kings,11.14%,E05011251
Camden Square,22.53%,E05013654
Tooting Broadway,12.95%,E05014024
Earl's Court,17.25%,E05009395
Shortlands & Park Langley,25.37%,E05014005
Peckham Rye,24.52%,E05011111
West Heath,8.92%,E05011233
Hoxton West,13.80%,E05009378
Borough & Bankside,6.53%,E05011095
Childs Hill,20.67%,E05013631
Centenary,7.01%,E05013544
Roxeth,12.53%,E05013559
Haselbury,10.55%,E05013682
Alexandra,19.23%,E05013928
Victoria,21.03%,E05009386
Hacton,11.14%,E05013972
Broad Green,6.66%,E05011465
Grove Green,8.09%,E05013888
Sudbury,14.02%,E05013511
Graveney,8.45%,E05013815
South Richmond,27.27%,E05013786
Shirley North,14.21%,E05011482
St Paul's Cray,23.70%,E05014007
Hampstead Town,58.06%,E05013659
Ridgeway,15.38%,E05013690
Longthornton,7.94%,E05013818
Highfield,10.96%,E05013683
Ravensbury,21.64%,E05013822
Pembridge,27.05%,E05009400
Maida Vale,29.91%,E05013800
Southall West,3.73%,E05013539
Bedfont,17.13%,E05013606
Hampton,20.98%,E05013778
Ladywell,24.95%,E05013725
West Ham,16.18%,E05013927
Myatt's Fields,19.72%,E05014107
Coningham,14.94%,E05013737
Belmont,19.58%,E05013542
Canning Town North,9.41%,E05013906
Church Street,16.79%,E05013794
South Tottenham,12.37%,E05013599
Edgware,7.54%,E05013545
Highbury,29.08%,E05013704
Chaucer,21.84%,E05011098
Newbury,8.85%,E05011250
Enfield Lock,15.17%,E05013680
Knight's Hill,17.43%,E05014106
North Cheam,6.84%,E05013760
Camberwell Green,17.75%,E05011096
Colindale South,12.44%,E05013633
St Ann's,10.36%,E05013597
Southfield,17.20%,E05013540
Northwood Hills,19.34%,E05013575
Fairlop,7.33%,E05011242
Pitshanger,24.53%,E05013535
Valentines,16.24%,E05011253
Streatham Hill West & Thornton,13.44%,E05014114
Dalgarno,19.62%,E05009394
West Drayton,20.39%,E05013581
Thamesfield,18.59%,E05014022
Wallington North,15.46%,E05013770
Balham,12.42%,E05014009
Figge's Marsh,8.91%,E05013814
