NAME,deprived rate,ward_code
City of London,0.401711143,E09000001
Abbey,0.58630137,E05014053
Alibon,0.610645933,E05014054
Barking Riverside,0.529568303,E05014055
Beam,0.608872458,E05014056
Becontree,0.634910277,E05014057
Chadwell Heath,0.633277801,E05014058
Eastbrook & Rush Green,0.588235294,E05014059
Eastbury,0.659292035,E05014060
Gascoigne,0.603892688,E05014061
Goresbrook,0.666171792,E05014062
Heath,0.62556801,E05014063
Longbridge,0.578723404,E05014064
Mayesbrook,0.640771247,E05014065
Northbury,0.639381537,E05014066
Parsloes,0.669055252,E05014067
Thames View,0.643088553,E05014068
Valence,0.656879678,E05014069
Village,0.643091745,E05014070
Whalebone,0.54877785,E05014071
Barnet Vale,0.474182324,E05013628
Brunswick Park,0.484848485,E05013629
Burnt Oak,0.656463515,E05013630
Childs Hill,0.507325082,E05013631
Colindale North,0.620126334,E05013632
Colindale South,0.493058364,E05013633
Cricklewood,0.605092232,E05013634
East Barnet,0.484744306,E05013635
East Finchley,0.510747939,E05013636
Edgware,0.482351287,E05013637
Edgwarebury,0.515262515,E05013638
Finchley Church End,0.470386039,E05013639
Friern Barnet,0.507858284,E05013640
Garden Suburb,0.360753221,E05013641
Golders Green,0.536599535,E05013642
Hendon,0.549232814,E05013643
High Barnet,0.454620462,E05013644
Mill Hill,0.462236099,E05013645
Totteridge & Woodside,0.380353982,E05013646
Underhill,0.519575177,E05013647
West Finchley,0.481965094,E05013648
West Hendon,0.579656294,E05013649
Whetstone,0.438123984,E05013650
Woodhouse,0.523494729,E05013651
Barnehurst,0.511659497,E05011217
Belvedere,0.548544407,E05011218
Bexleyheath,0.505061517,E05011219
Blackfen & Lamorbey,0.462710505,E05011220
Blendon & Penhill,0.461834617,E05011221
Crayford,0.530841121,E05011222
Crook Log,0.469854133,E05011223
East Wickham,0.522331064,E05011224
Erith,0.551648788,E05011225
Falconwood & Welling,0.482580645,E05011226
Longlands,0.461355529,E05011227
Northumberland Heath,0.552039555,E05011228
St Mary's & St James,0.473744292,E05011229
Sidcup,0.516788539,E05011230
Slade Green & Northend,0.598648078,E05011231
Thamesmead East,0.62394958,E05011232
West Heath,0.488121689,E05011233
Alperton,0.63253012,E05013496
Barnhill,0.584419037,E05013497
Brondesbury Park,0.536960802,E05013498
Cricklewood & Mapesbury,0.594197771,E05013499
Dollis Hill,0.658290763,E05013500
Harlesden & Kensal Green,0.645615346,E05013501
Kenton,0.557715887,E05013502
Kilburn,0.571054698,E05013503
Kingsbury,0.56430994,E05013504
Northwick Park,0.529147982,E05013505
Preston,0.572385368,E05013506
Queens Park,0.484091882,E05013507
Queensbury,0.559309167,E05013508
Roundwood,0.681417348,E05013509
Stonebridge,0.694159978,E05013510
Sudbury,0.623373606,E05013511
Tokyngton,0.624378109,E05013512
Welsh Harp,0.632253822,E05013513
Wembley Central,0.680234913,E05013514
Wembley Hill,0.628924236,E05013515
Wembley Park,0.406470807,E05013516
Willesden Green,0.602120974,E05013517
Beckenham Town & Copers Cope,0.409321175,E05013987
Bickley & Sundridge,0.398523471,E05013988
Biggin Hill,0.475034674,E05013989
Bromley Common & Holwood,0.460627359,E05013990
Bromley Town,0.410639223,E05013991
Chelsfield,0.427489419,E05013992
Chislehurst,0.400863447,E05013993
Clock House,0.420453004,E05013994
Crystal Palace & Anerley,0.49991245,E05013995
Darwin,0.467490842,E05013996
Farnborough & Crofton,0.452551666,E05013997
Hayes & Coney Hall,0.411633875,E05013998
Kelsey & Eden Park,0.427284857,E05013999
Mottingham,0.54137931,E05014000
Orpington,0.4899549,E05014001
Penge & Cator,0.498465896,E05014002
Petts Wood & Knoll,0.401367623,E05014003
Plaistow,0.466577027,E05014004
Shortlands & Park Langley,0.38597508,E05014005
St Mary Cray,0.53828125,E05014006
St Paul's Cray,0.602930184,E05014007
West Wickham,0.426114426,E05014008
Belsize,0.399491525,E05013652
Bloomsbury,0.56169855,E05013653
Camden Square,0.551702593,E05013654
Camden Town,0.551404959,E05013655
Fortune Green,0.482153306,E05013656
Frognal,0.368469016,E05013657
Gospel Oak,0.576674277,E05013658
Hampstead Town,0.351134846,E05013659
Haverstock,0.580575256,E05013660
Highgate,0.487323312,E05013661
Holborn & Covent Garden,0.558917197,E05013662
Kentish Town North,0.484631453,E05013663
Kentish Town South,0.547165428,E05013664
Kilburn,0.648218484,E05013665
King's Cross,0.572212066,E05013666
Primrose Hill,0.476462197,E05013667
Regent's Park,0.610753121,E05013668
St Pancras & Somers Town,0.697138151,E05013669
South Hampstead,0.45377239,E05013670
West Hampstead,0.479053166,E05013671
Addiscombe East,0.50145955,E05011462
Addiscombe West,0.514830508,E05011463
Bensham Manor,0.560650888,E05011464
Broad Green,0.617784497,E05011465
Coulsdon Town,0.404757709,E05011466
Crystal Palace & Upper Norwood,0.475555556,E05011467
Fairfield,0.504049927,E05011468
Kenley,0.393738865,E05011469
New Addington North,0.69079125,E05011470
New Addington South,0.658316633,E05011471
Norbury & Pollards Hill,0.546423135,E05011472
Norbury Park,0.52433936,E05011473
Old Coulsdon,0.469323545,E05011474
Park Hill & Whitgift,0.441053512,E05011475
Purley & Woodcote,0.434206423,E05011476
Purley Oaks & Riddlesdown,0.422195122,E05011477
Sanderstead,0.422320217,E05011478
Selhurst,0.619508419,E05011479
Selsdon & Addington Village,0.485966736,E05011480
Selsdon Vale & Forestdale,0.476665046,E05011481
Shirley North,0.51591932,E05011482
Shirley South,0.506021009,E05011483
South Croydon,0.478365707,E05011484
South Norwood,0.563340807,E05011485
Thornton Heath,0.565637889,E05011486
Waddon,0.557066337,E05011487
West Thornton,0.61310717,E05011488
Woodside,0.526315789,E05011489
Central Greenford,0.550204082,E05013518
Dormers Wells,0.681393373,E05013519
Ealing Broadway,0.436249015,E05013520
Ealing Common,0.464555053,E05013521
East Acton,0.553651505,E05013522
Greenford Broadway,0.59625981,E05013523
Hanger Hill,0.454996243,E05013524
Hanwell Broadway,0.513175016,E05013525
Lady Margaret,0.624077588,E05013526
North Acton,0.539724811,E05013527
North Greenford,0.531907045,E05013528
North Hanwell,0.553848967,E05013529
Northfield,0.413481953,E05013530
Northolt Mandeville,0.592963998,E05013531
Northolt West End,0.652019214,E05013532
Norwood Green,0.623862696,E05013533
Perivale,0.555300353,E05013534
Pitshanger,0.497467927,E05013535
South Acton,0.526466186,E05013536
Southall Broadway,0.727113294,E05013537
Southall Green,0.744690465,E05013538
Southall West,0.732763228,E05013539
Southfield,0.360562204,E05013540
Walpole,0.443885009,E05013541
Arnos Grove,0.459042218,E05013672
Bowes,0.624079916,E05013673
Brimsdown,0.646985373,E05013674
Bullsmoor,0.652162914,E05013675
Bush Hill Park,0.492686836,E05013676
Carterhatch,0.691299166,E05013677
Cockfosters,0.477313975,E05013678
Edmonton Green,0.729343815,E05013679
Enfield Lock,0.631833048,E05013680
Grange Park,0.436594738,E05013681
Haselbury,0.664087685,E05013682
Highfield,0.562756598,E05013683
Jubilee,0.642315158,E05013684
Lower Edmonton,0.676592083,E05013685
New Southgate,0.539479796,E05013686
Oakwood,0.455742726,E05013687
Palmers Green,0.522466539,E05013688
Ponders End,0.669704379,E05013689
Ridgeway,0.47703624,E05013690
Southbury,0.545642796,E05013691
Southgate,0.48782138,E05013692
Town,0.46556525,E05013693
Upper Edmonton,0.692376044,E05013694
Whitewebbs,0.542917697,E05013695
Winchmore Hill,0.44569852,E05013696
Abbey Wood,0.608184308,E05014072
Blackheath Westcombe,0.422514404,E05014073
Charlton Hornfair,0.507788836,E05014074
Charlton Village & Riverside,0.580246914,E05014075
East Greenwich,0.414332655,E05014076
Eltham Page,0.612332287,E05014077
Eltham Park & Progress,0.47961165,E05014078
Eltham Town & Avery Hill,0.514567744,E05014079
Greenwich Creekside,0.386040766,E05014080
Greenwich Park,0.420264317,E05014081
Greenwich Peninsula,0.351490034,E05014082
Kidbrooke Park,0.538131313,E05014083
Kidbrooke Village & Sutcliffe,0.40615727,E05014084
Middle Park & Horn Park,0.61434218,E05014085
"Mottingham, Coldharbour & New Eltham",0.514648782,E05014086
Plumstead & Glyndon,0.627925532,E05014087
Plumstead Common,0.564797871,E05014088
Shooters Hill,0.539306847,E05014089
Thamesmead Moorings,0.617372421,E05014090
West Thamesmead,0.556546103,E05014091
Woolwich Arsenal,0.432629027,E05014092
Woolwich Common,0.591937474,E05014093
Woolwich Dockyard,0.635957066,E05014094
Brownswood,0.512851897,E05009367
Cazenove,0.607523754,E05009368
Clissold,0.479182019,E05009369
Dalston,0.449507389,E05009370
De Beauvoir,0.485098923,E05009371
Hackney Central,0.564191534,E05009372
Hackney Downs,0.570869808,E05009373
Hackney Wick,0.603970323,E05009374
Haggerston,0.538277512,E05009375
Homerton,0.603104638,E05009376
Hoxton East & Shoreditch,0.487809283,E05009377
Hoxton West,0.502856236,E05009378
King's Park,0.604997026,E05009379
Lea Bridge,0.563251914,E05009380
London Fields,0.529314159,E05009381
Shacklewell,0.555402805,E05009382
Springfield,0.676048248,E05009383
Stamford Hill West,0.605633803,E05009384
Stoke Newington,0.500707464,E05009385
Victoria,0.557836179,E05009386
Woodberry Down,0.566733467,E05009387
Addison,0.52293578,E05013733
Avonmore,0.503687517,E05013734
Brook Green,0.448039989,E05013735
College Park & Old Oak,0.618275418,E05013736
Coningham,0.542862961,E05013737
Fulham Reach,0.479433182,E05013738
Fulham Town,0.369040612,E05013739
Grove,0.439003187,E05013740
Hammersmith Broadway,0.524505589,E05013741
Lillie,0.504080352,E05013742
Munster,0.396459524,E05013743
Palace & Hurlingham,0.396080884,E05013744
Parsons Green & Sandford,0.34204793,E05013745
Ravenscourt,0.459755312,E05013746
Sands End,0.459576992,E05013747
Shepherd's Bush Green,0.618243243,E05013748
Walham Green,0.496425508,E05013749
Wendell Park,0.454861111,E05013750
West Kensington,0.537793223,E05013751
White City,0.590513069,E05013752
Wormholt,0.554192229,E05013753
Alexandra Park,0.410196308,E05013585
Bounds Green,0.569393269,E05013586
Bruce Castle,0.69465937,E05013587
Crouch End,0.432021171,E05013588
Fortis Green,0.415452186,E05013589
Harringay,0.569421758,E05013590
Hermitage & Gardens,0.615904206,E05013591
Highgate,0.389964789,E05013592
Hornsey,0.476906715,E05013593
Muswell Hill,0.423306514,E05013594
